Series_Title,Genre,Released_Year,IMDB_Rating,dataset_split
Sing Street,"Comedy, Drama, Music",2016,7.9,train
Thor: Ragnarok,"Action, Adventure, Comedy",2017,7.9,train
Nightcrawler,"Crime, Drama, Thriller",2014,7.9,train
Jojo Rabbit,"Comedy, Drama, War",2019,7.9,train
Arrival,"Drama, Sci-Fi",2016,7.9,train
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",2015,7.9,train
Before Midnight,"Drama, Romance",2013,7.9,train
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",2014,7.9,test
Bir Zamanlar Anadolu'da,"Crime, Drama",2011,7.9,train
The Artist,"Comedy, Drama, Romance",2011,7.9,train
Edge of Tomorrow,"Action, Adventure, Sci-Fi",2014,7.9,train
Amour,"Drama, Romance",2012,7.9,train
The Irishman,"Biography, Crime, Drama",2019,7.9,train
Un prophète,"Crime, Drama",2009,7.9,train
Moon,"Drama, Mystery, Sci-Fi",2009,7.9,test
Låt den rätte komma in,"Crime, Drama, Fantasy",2008,7.9,train
District 9,"Action, Sci-Fi, Thriller",2009,7.9,train
The Wrestler,"Drama, Sport",2008,7.9,train
Jab We Met,"Comedy, Drama, Romance",2007,7.9,train
Boyhood,Drama,2014,7.9,train
"4 luni, 3 saptamâni si 2 zile",Drama,2007,7.9,train
Star Trek,"Action, Adventure, Sci-Fi",2009,7.9,test
In Bruges,"Comedy, Crime, Drama",2008,7.9,test
The Man from Earth,"Drama, Fantasy, Mystery",2007,7.9,train
Letters from Iwo Jima,"Action, Adventure, Drama",2006,7.9,train
The Fall,"Adventure, Drama, Fantasy",2006,7.9,train
Life of Pi,"Adventure, Drama, Fantasy",2012,7.9,train
Fantastic Mr. Fox,"Animation, Adventure, Comedy",2009,7.9,test
C.R.A.Z.Y.,"Comedy, Drama",2005,7.9,train
Les choristes,"Drama, Music",2004,7.9,train
Iron Man,"Action, Adventure, Sci-Fi",2008,7.9,train
Shaun of the Dead,"Comedy, Horror",2004,7.9,train
Gegen die Wand,"Drama, Romance",2004,7.9,train
Mystic River,"Crime, Drama, Mystery",2003,7.9,train
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",2004,7.9,train
Ying xiong,"Action, Adventure, History",2002,7.9,train
Hable con ella,"Drama, Mystery, Romance",2002,7.9,train
No Man's Land,"Comedy, Drama, War",2001,7.9,train
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",2001,7.9,train
The Bourne Identity,"Action, Mystery, Thriller",2002,7.9,train
Nueve reinas,"Crime, Drama, Thriller",2000,7.9,train
Children of Men,"Adventure, Drama, Sci-Fi",2006,7.9,test
Almost Famous,"Adventure, Comedy, Drama",2000,7.9,train
Mulholland Dr.,"Drama, Mystery, Thriller",2001,7.9,train
Toy Story 2,"Animation, Adventure, Comedy",1999,7.9,train
Boogie Nights,Drama,1997,7.9,train
Mimi wo sumaseba,"Animation, Drama, Family",1995,7.9,train
Once Were Warriors,"Crime, Drama",1994,7.9,train
True Romance,"Crime, Drama, Romance",1993,7.9,train
Trois couleurs: Bleu,"Drama, Music, Mystery",1993,7.9,test
Jûbê ninpûchô,"Animation, Action, Adventure",1993,7.9,test
Carlito's Way,"Crime, Drama, Thriller",1993,7.9,train
Edward Scissorhands,"Drama, Fantasy, Romance",1990,7.9,train
My Left Foot: The Story of Christy Brown,"Biography, Drama",1989,7.9,train
Crimes and Misdemeanors,"Comedy, Drama",1989,7.9,test
The Untouchables,"Crime, Drama, Thriller",1987,7.9,test
Hannah and Her Sisters,"Comedy, Drama",1986,7.9,test
Brazil,"Drama, Sci-Fi",1985,7.9,test
This Is Spinal Tap,"Comedy, Music",1984,7.9,train
A Christmas Story,"Comedy, Family",1983,7.9,train
The Blues Brothers,"Action, Adventure, Comedy",1980,7.9,train
Manhattan,"Comedy, Drama, Romance",1979,7.9,train
All That Jazz,"Drama, Music, Musical",1979,7.9,test
Dawn of the Dead,"Action, Adventure, Horror",1978,7.9,train
All the President's Men,"Biography, Drama, History",1976,7.9,train
La montaña sagrada,"Adventure, Drama, Fantasy",1973,7.9,train
Amarcord,"Comedy, Drama, Family",1973,7.9,train
Le charme discret de la bourgeoisie,Comedy,1972,7.9,train
"Aguirre, der Zorn Gottes","Action, Adventure, Biography",1972,7.9,train
Harold and Maude,"Comedy, Drama, Romance",1971,7.9,train
Patton,"Biography, Drama, War",1970,7.9,test
The Wild Bunch,"Action, Adventure, Western",1969,7.9,test
Night of the Living Dead,"Horror, Thriller",1968,7.9,train
The Lion in Winter,"Biography, Drama, History",1968,7.9,train
In the Heat of the Night,"Crime, Drama, Mystery",1967,7.9,train
Charade,"Comedy, Mystery, Romance",1963,7.9,train
The Manchurian Candidate,"Drama, Thriller",1962,7.9,test
Spartacus,"Adventure, Biography, Drama",1960,7.9,test
L'avventura,"Drama, Mystery",1960,7.9,train
Hiroshima mon amour,"Drama, Romance",1959,7.9,train
The Ten Commandments,"Adventure, Drama",1956,7.9,train
The Searchers,"Adventure, Drama, Western",1956,7.9,train
East of Eden,Drama,1955,7.9,test
High Noon,"Drama, Thriller, Western",1952,7.9,train
Strangers on a Train,"Crime, Film-Noir, Thriller",1951,7.9,train
Harvey,"Comedy, Drama, Fantasy",1950,7.9,train
Miracle on 34th Street,"Comedy, Drama, Family",1947,7.9,train
Notorious,"Drama, Film-Noir, Romance",1946,7.9,test
The Big Sleep,"Crime, Film-Noir, Mystery",1946,7.9,train
The Lost Weekend,"Drama, Film-Noir",1945,7.9,train
The Philadelphia Story,"Comedy, Romance",1940,7.9,train
His Girl Friday,"Comedy, Drama, Romance",1940,7.9,train
The Adventures of Robin Hood,"Action, Adventure, Romance",1938,7.9,train
A Night at the Opera,"Comedy, Music, Musical",1935,7.9,train
King Kong,"Adventure, Horror, Sci-Fi",1933,7.9,train
Freaks,"Drama, Horror",1932,7.9,train
Nosferatu,"Fantasy, Horror",1922,7.9,train
The Gentlemen,"Action, Comedy, Crime",2019,7.8,train
Raazi,"Action, Drama, Thriller",2018,7.8,test
Sound of Metal,"Drama, Music",2019,7.8,train
Forushande,Drama,2016,7.8,train
Dunkirk,"Action, Drama, History",2017,7.8,train
Perfetti sconosciuti,"Comedy, Drama",2016,7.8,train
Hidden Figures,"Biography, Drama, History",2016,7.8,train
Paddington 2,"Adventure, Comedy, Family",2017,7.8,train
Udta Punjab,"Action, Crime, Drama",2016,7.8,train
Kubo and the Two Strings,"Animation, Action, Adventure",2016,7.8,test
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",2016,7.8,train
Manchester by the Sea,Drama,2016,7.8,train
Under sandet,"Drama, History, War",2015,7.8,train
Rogue One,"Action, Adventure, Sci-Fi",2016,7.8,train
Captain America: Civil War,"Action, Adventure, Sci-Fi",2016,7.8,test
The Hateful Eight,"Crime, Drama, Mystery",2015,7.8,test
Little Women,"Drama, Romance",2019,7.8,train
Loving Vincent,"Animation, Biography, Crime",2017,7.8,train
Pride,"Biography, Comedy, Drama",2014,7.8,train
Le passé,"Drama, Mystery",2013,7.8,train
La grande bellezza,Drama,2013,7.8,test
The Lunchbox,"Drama, Romance",2013,7.8,test
Vicky Donor,"Comedy, Romance",2012,7.8,train
Big Hero 6,"Animation, Action, Adventure",2014,7.8,train
About Time,"Comedy, Drama, Fantasy",2013,7.8,train
English Vinglish,"Comedy, Drama, Family",2012,7.8,train
Kaze tachinu,"Animation, Biography, Drama",2013,7.8,test
Toy Story 4,"Animation, Adventure, Comedy",2019,7.8,train
La migliore offerta,"Crime, Drama, Mystery",2013,7.8,train
Moonrise Kingdom,"Comedy, Drama, Romance",2012,7.8,train
How to Train Your Dragon 2,"Animation, Action, Adventure",2014,7.8,test
The Big Short,"Biography, Comedy, Drama",2015,7.8,train
Kokuhaku,"Drama, Thriller",2010,7.8,test
Ang-ma-reul bo-at-da,"Action, Crime, Drama",2010,7.8,train
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",2011,7.8,train
Captain Phillips,"Adventure, Biography, Crime",2013,7.8,test
Ajeossi,"Action, Crime, Drama",2010,7.8,train
Straight Outta Compton,"Biography, Drama, History",2015,7.8,train
Madeo,"Crime, Drama, Mystery",2009,7.8,train
Chugyeokja,"Action, Crime, Thriller",2008,7.8,train
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",2013,7.8,train
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery",2009,7.8,train
Män som hatar kvinnor,"Crime, Drama, Mystery",2009,7.8,train
The Trial of the Chicago 7,"Drama, History, Thriller",2020,7.8,train
Druk,"Comedy, Drama",2020,7.8,test
The Fighter,"Biography, Drama, Sport",2010,7.8,train
Taken,"Action, Thriller",2008,7.8,train
The Boy in the Striped Pyjamas,"Drama, History, War",2008,7.8,train
Once,"Drama, Music, Romance",2007,7.8,test
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",2012,7.8,train
Auf der anderen Seite,Drama,2007,7.8,train
Atonement,"Drama, Mystery, Romance",2007,7.8,train
Drive,"Crime, Drama",2011,7.8,test
American Gangster,"Biography, Crime, Drama",2007,7.8,train
Avatar,"Action, Adventure, Fantasy",2009,7.8,train
Mr. Nobody,"Drama, Fantasy, Romance",2009,7.8,train
Apocalypto,"Action, Adventure, Drama",2006,7.8,train
Little Miss Sunshine,"Comedy, Drama",2006,7.8,test
Hot Fuzz,"Action, Comedy, Mystery",2007,7.8,train
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",2008,7.8,train
Veer-Zaara,"Drama, Family, Musical",2004,7.8,train
Adams æbler,"Comedy, Crime, Drama",2005,7.8,train
Pride & Prejudice,"Drama, Romance",2005,7.8,train
The World's Fastest Indian,"Biography, Drama, Sport",2005,7.8,train
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",2003,7.8,train
Serenity,"Action, Adventure, Sci-Fi",2005,7.8,train
Walk the Line,"Biography, Drama, Music",2005,7.8,test
Ondskan,Drama,2003,7.8,test
The Notebook,"Drama, Romance",2004,7.8,train
Diarios de motocicleta,"Adventure, Biography, Drama",2004,7.8,train
Lilja 4-ever,"Crime, Drama",2002,7.8,train
Les triplettes de Belleville,"Animation, Comedy, Drama",2003,7.8,train
Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller",2000,7.8,train
The Count of Monte Cristo,"Action, Adventure, Drama",2002,7.8,train
Waking Life,"Animation, Drama, Fantasy",2001,7.8,test
Remember the Titans,"Biography, Drama, Sport",2000,7.8,test
Wo hu cang long,"Action, Adventure, Fantasy",2000,7.8,train
Todo sobre mi madre,Drama,1999,7.8,train
Cast Away,"Adventure, Drama, Romance",2000,7.8,train
The Boondock Saints,"Action, Crime, Thriller",1999,7.8,train
The Insider,"Biography, Drama, Thriller",1999,7.8,test
October Sky,"Biography, Drama, Family",1999,7.8,test
Shrek,"Animation, Adventure, Comedy",2001,7.8,train
Titanic,"Drama, Romance",1997,7.8,test
Hana-bi,"Crime, Drama, Romance",1997,7.8,train
Gattaca,"Drama, Sci-Fi, Thriller",1997,7.8,train
The Game,"Action, Drama, Mystery",1997,7.8,train
Breaking the Waves,Drama,1996,7.8,test
Ed Wood,"Biography, Comedy, Drama",1994,7.8,train
What's Eating Gilbert Grape,Drama,1993,7.8,train
Tombstone,"Action, Biography, Drama",1993,7.8,train
The Sandlot,"Comedy, Drama, Family",1993,7.8,test
The Remains of the Day,"Drama, Romance",1993,7.8,train
Naked,"Comedy, Drama",1993,7.8,test
The Fugitive,"Action, Crime, Drama",1993,7.8,train
A Bronx Tale,"Crime, Drama, Romance",1993,7.8,train
Batman: Mask of the Phantasm,"Animation, Action, Crime",1993,7.8,train
Lat sau san taam,"Action, Crime, Thriller",1992,7.8,train
Night on Earth,"Comedy, Drama",1991,7.8,train
La double vie de Véronique,"Drama, Fantasy, Music",1991,7.8,test
Boyz n the Hood,"Crime, Drama",1991,7.8,train
Misery,"Drama, Thriller",1990,7.8,test
Awakenings,"Biography, Drama",1990,7.8,train
Majo no takkyûbin,"Animation, Adventure, Drama",1989,7.8,train
Glory,"Biography, Drama, History",1989,7.8,train
Dip huet seung hung,"Action, Crime, Drama",1989,7.8,train
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",1989,7.8,train
Mississippi Burning,"Crime, Drama, History",1988,7.8,train
Predator,"Action, Adventure, Sci-Fi",1987,7.8,test
Evil Dead II,"Action, Comedy, Fantasy",1987,7.8,test
Ferris Bueller's Day Off,Comedy,1986,7.8,test
Down by Law,"Comedy, Crime, Drama",1986,7.8,train
The Goonies,"Adventure, Comedy, Family",1985,7.8,train
The Color Purple,Drama,1985,7.8,train
The Breakfast Club,"Comedy, Drama",1985,7.8,train
The Killing Fields,"Biography, Drama, History",1984,7.8,train
Ghostbusters,"Action, Comedy, Fantasy",1984,7.8,train
The Right Stuff,"Adventure, Biography, Drama",1983,7.8,train
The King of Comedy,"Comedy, Crime, Drama",1982,7.8,test
E.T. the Extra-Terrestrial,"Family, Sci-Fi",1982,7.8,train
Kramer vs. Kramer,Drama,1979,7.8,test
Days of Heaven,"Drama, Romance",1978,7.8,train
The Outlaw Josey Wales,Western,1976,7.8,train
The Man Who Would Be King,"Adventure, History, War",1975,7.8,test
The Conversation,"Drama, Mystery, Thriller",1974,7.8,train
La planète sauvage,"Animation, Sci-Fi",1973,7.8,train
The Day of the Jackal,"Crime, Drama, Thriller",1973,7.8,train
Badlands,"Action, Crime, Drama",1973,7.8,train
Cabaret,"Drama, Music, Musical",1972,7.8,test
Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical",1971,7.8,train
Midnight Cowboy,Drama,1969,7.8,train
Wait Until Dark,Thriller,1967,7.8,train
Guess Who's Coming to Dinner,"Comedy, Drama",1967,7.8,train
Bonnie and Clyde,"Action, Biography, Crime",1967,7.8,train
My Fair Lady,"Drama, Family, Musical",1964,7.8,train
Mary Poppins,"Comedy, Family, Fantasy",1964,7.8,train
The Longest Day,"Action, Drama, History",1962,7.8,train
Jules et Jim,"Drama, Romance",1962,7.8,train
The Innocents,Horror,1961,7.8,train
À bout de souffle,"Crime, Drama",1960,7.8,train
Red River,"Action, Adventure, Drama",1948,7.8,train
Key Largo,"Action, Crime, Drama",1948,7.8,train
To Have and Have Not,"Adventure, Comedy, Film-Noir",1944,7.8,train
Shadow of a Doubt,"Film-Noir, Thriller",1943,7.8,train
Stagecoach,"Adventure, Drama, Western",1939,7.8,test
The Lady Vanishes,"Mystery, Thriller",1938,7.8,test
Bringing Up Baby,"Comedy, Family, Romance",1938,7.8,train
Bride of Frankenstein,"Drama, Horror, Sci-Fi",1935,7.8,test
Duck Soup,"Comedy, Musical, War",1933,7.8,train
Scarface: The Shame of the Nation,"Action, Crime, Drama",1932,7.8,train
Frankenstein,"Drama, Horror, Sci-Fi",1931,7.8,train
Roma,Drama,2018,7.7,train
God's Own Country,"Drama, Romance",2017,7.7,test
Deadpool 2,"Action, Adventure, Comedy",2018,7.7,train
Wind River,"Crime, Drama, Mystery",2017,7.7,train
Get Out,"Horror, Mystery, Thriller",2017,7.7,train
Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018,7.7,train
En man som heter Ove,"Comedy, Drama, Romance",2015,7.7,train
What We Do in the Shadows,"Comedy, Horror",2014,7.7,train
Omoide no Mânî,"Animation, Drama, Family",2014,7.7,train
The Theory of Everything,"Biography, Drama, Romance",2014,7.7,train
Kingsman: The Secret Service,"Action, Adventure, Comedy",2014,7.7,train
The Fault in Our Stars,"Drama, Romance",2014,7.7,train
Me and Earl and the Dying Girl,"Comedy, Drama",2015,7.7,train
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",2014,7.7,train
La vie d'Adèle,"Drama, Romance",2013,7.7,train
Kai po che!,"Drama, Sport",2013,7.7,train
The Broken Circle Breakdown,"Drama, Music, Romance",2012,7.7,train
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",2014,7.7,test
Rockstar,"Drama, Music, Musical",2011,7.7,train
Nebraska,"Adventure, Comedy, Drama",2013,7.7,train
Wreck-It Ralph,"Animation, Adventure, Comedy",2012,7.7,test
Le Petit Prince,"Animation, Adventure, Drama",2015,7.7,test
Detachment,Drama,2011,7.7,train
Midnight in Paris,"Comedy, Fantasy, Romance",2011,7.7,train
The Lego Movie,"Animation, Action, Adventure",2014,7.7,train
Gravity,"Drama, Sci-Fi, Thriller",2013,7.7,train
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",2013,7.7,train
Beasts of No Nation,"Drama, War",2015,7.7,train
The Social Network,"Biography, Drama",2010,7.7,train
X: First Class,"Action, Adventure, Sci-Fi",2011,7.7,test
The Hangover,Comedy,2009,7.7,train
Skyfall,"Action, Adventure, Thriller",2012,7.7,train
Silver Linings Playbook,"Comedy, Drama, Romance",2012,7.7,train
Argo,"Biography, Drama, Thriller",2012,7.7,test
(500) Days of Summer,"Comedy, Drama, Romance",2009,7.7,train
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",2010,7.7,train
Gake no ue no Ponyo,"Animation, Adventure, Comedy",2008,7.7,train
Frost/Nixon,"Biography, Drama, History",2008,7.7,train
Papurika,"Animation, Drama, Fantasy",2006,7.7,train
Changeling,"Biography, Crime, Drama",2008,7.7,train
Flipped,"Comedy, Drama, Romance",2010,7.7,train
Toki o kakeru shôjo,"Animation, Adventure, Comedy",2006,7.7,test
Death Note: Desu nôto,"Crime, Drama, Fantasy",2006,7.7,train
This Is England,"Crime, Drama",2006,7.7,train
Ex Machina,"Drama, Sci-Fi, Thriller",2014,7.7,test
Efter brylluppet,Drama,2006,7.7,train
The Last King of Scotland,"Biography, Drama, History",2006,7.7,train
Zodiac,"Crime, Drama, Mystery",2007,7.7,test
Lucky Number Slevin,"Action, Crime, Drama",2006,7.7,train
Joyeux Noël,"Drama, History, Music",2005,7.7,train
Control,"Biography, Drama, Music",2007,7.7,train
Tangled,"Animation, Adventure, Comedy",2010,7.7,train
Zwartboek,"Drama, Thriller, War",2006,7.7,train
Brokeback Mountain,"Drama, Romance",2005,7.7,train
3:10 to Yuma,"Action, Crime, Drama",2007,7.7,train
Crash,"Crime, Drama, Thriller",2004,7.7,train
Kung fu,"Action, Comedy, Fantasy",2004,7.7,train
The Bourne Supremacy,"Action, Mystery, Thriller",2004,7.7,train
The Machinist,"Drama, Thriller",2004,7.7,train
Ray,"Biography, Drama, Music",2004,7.7,train
Lost in Translation,"Comedy, Drama",2003,7.7,train
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",2005,7.7,train
Man on Fire,"Action, Crime, Drama",2004,7.7,train
Coraline,"Animation, Drama, Family",2009,7.7,train
The Last Samurai,"Action, Drama",2003,7.7,train
The Magdalene Sisters,Drama,2002,7.7,train
Good Bye Lenin!,"Comedy, Drama, Romance",2003,7.7,train
In America,Drama,2002,7.7,test
I Am Sam,Drama,2001,7.7,train
Adaptation.,"Comedy, Drama",2002,7.7,train
Black Hawk Down,"Drama, History, War",2001,7.7,train
Road to Perdition,"Crime, Drama, Thriller",2002,7.7,train
Das Experiment,"Drama, Thriller",2001,7.7,train
Billy Elliot,"Drama, Music",2000,7.7,train
Hedwig and the Angry Inch,"Comedy, Drama, Music",2001,7.7,train
Ocean's Eleven,"Crime, Thriller",2001,7.7,train
Vampire Hunter D: Bloodlust,"Animation, Action, Fantasy",2000,7.7,train
"O Brother, Where Art Thou?","Adventure, Comedy, Crime",2000,7.7,train
Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama",2002,7.7,train
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",1999,7.7,train
Office Space,Comedy,1999,7.7,test
Happiness,"Comedy, Drama",1998,7.7,train
Training Day,"Crime, Drama, Thriller",2001,7.7,test
Rushmore,"Comedy, Drama, Romance",1998,7.7,train
Abre los ojos,"Drama, Mystery, Sci-Fi",1997,7.7,train
Being John Malkovich,"Comedy, Drama, Fantasy",1999,7.7,train
As Good as It Gets,"Comedy, Drama, Romance",1997,7.7,train
The Fifth Element,"Action, Adventure, Sci-Fi",1997,7.7,train
Le dîner de cons,Comedy,1998,7.7,train
Donnie Brasco,"Biography, Crime, Drama",1997,7.7,train
Shine,"Biography, Drama, Music",1996,7.7,test
Primal Fear,"Crime, Drama, Mystery",1996,7.7,test
Hamlet,Drama,1996,7.7,train
A Little Princess,"Drama, Family, Fantasy",1995,7.7,train
Do lok tin si,"Comedy, Crime, Drama",1995,7.7,train
Il postino,"Biography, Comedy, Drama",1994,7.7,train
Clerks,Comedy,1994,7.7,test
Short Cuts,"Comedy, Drama",1993,7.7,train
Philadelphia,Drama,1993,7.7,train
The Muppet Christmas Carol,"Comedy, Drama, Family",1992,7.7,train
Malcolm X,"Biography, Drama, History",1992,7.7,test
The Last of the Mohicans,"Action, Adventure, Drama",1992,7.7,train
Kurenai no buta,"Animation, Adventure, Comedy",1992,7.7,test
Glengarry Glen Ross,"Crime, Drama, Mystery",1992,7.7,test
A Few Good Men,"Drama, Thriller",1992,7.7,train
Fried Green Tomatoes,Drama,1991,7.7,train
Barton Fink,"Comedy, Drama, Thriller",1991,7.7,test
Miller's Crossing,"Crime, Drama, Thriller",1990,7.7,train
Who Framed Roger Rabbit,"Animation, Adventure, Comedy",1988,7.7,train
Spoorloos,"Mystery, Thriller",1988,7.7,test
Withnail & I,"Comedy, Drama",1987,7.7,train
The Last Emperor,"Biography, Drama, History",1987,7.7,train
Empire of the Sun,"Action, Drama, History",1987,7.7,train
Der Name der Rose,"Crime, Drama, Mystery",1986,7.7,train
Blue Velvet,"Drama, Mystery, Thriller",1986,7.7,train
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",1985,7.7,train
After Hours,"Comedy, Crime, Drama",1985,7.7,train
Zelig,Comedy,1983,7.7,test
The Verdict,Drama,1982,7.7,train
Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi",1982,7.7,train
First Blood,"Action, Adventure",1982,7.7,train
Ordinary People,Drama,1980,7.7,train
Airplane!,Comedy,1980,7.7,train
Rupan sansei: Kariosutoro no shiro,"Animation, Adventure, Family",1979,7.7,train
Halloween,"Horror, Thriller",1978,7.7,train
Le locataire,"Drama, Thriller",1976,7.7,test
Love and Death,"Comedy, War",1975,7.7,train
The Taking of Pelham One Two Three,"Action, Crime, Thriller",1974,7.7,train
Blazing Saddles,"Comedy, Western",1974,7.7,train
Serpico,"Biography, Crime, Drama",1973,7.7,test
Enter the Dragon,"Action, Crime, Drama",1973,7.7,train
Deliverance,"Adventure, Drama, Thriller",1972,7.7,train
The French Connection,"Action, Crime, Drama",1971,7.7,train
Dirty Harry,"Action, Crime, Thriller",1971,7.7,train
Where Eagles Dare,"Action, Adventure, War",1968,7.7,train
The Odd Couple,Comedy,1968,7.7,train
The Dirty Dozen,"Action, Adventure, War",1967,7.7,train
Belle de jour,"Drama, Romance",1967,7.7,train
A Man for All Seasons,"Biography, Drama, History",1966,7.7,train
Repulsion,"Drama, Horror, Thriller",1965,7.7,test
Zulu,"Drama, History, War",1964,7.7,train
Goldfinger,"Action, Adventure, Thriller",1964,7.7,train
The Birds,"Drama, Horror, Mystery",1963,7.7,train
Cape Fear,"Drama, Thriller",1962,7.7,train
Peeping Tom,"Drama, Horror, Thriller",1960,7.7,train
The Magnificent Seven,"Action, Adventure, Western",1960,7.7,test
Les yeux sans visage,"Drama, Horror",1960,7.7,test
Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",1956,7.7,test
Rebel Without a Cause,Drama,1955,7.7,train
The Ladykillers,"Comedy, Crime",1955,7.7,train
Sabrina,"Comedy, Drama, Romance",1954,7.7,train
The Quiet Man,"Comedy, Drama, Romance",1952,7.7,train
The Day the Earth Stood Still,"Drama, Sci-Fi",1951,7.7,train
The African Queen,"Adventure, Drama, Romance",1951,7.7,train
Gilda,"Drama, Film-Noir, Romance",1946,7.7,train
Fantasia,"Animation, Family, Fantasy",1940,7.7,train
The Invisible Man,"Horror, Sci-Fi",1933,7.7,train
Dark Waters,"Biography, Drama, History",2019,7.6,train
Searching,"Drama, Mystery, Thriller",2018,7.6,train
Once Upon a Time... in Hollywood,"Comedy, Drama",2019,7.6,test
Nelyubov,Drama,2017,7.6,train
The Florida Project,Drama,2017,7.6,train
Just Mercy,"Biography, Crime, Drama",2019,7.6,train
Gifted,Drama,2017,7.6,test
The Peanut Butter Falcon,"Adventure, Comedy, Drama",2019,7.6,test
Victoria,"Crime, Drama, Romance",2015,7.6,train
Mustang,Drama,2015,7.6,train
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",2017,7.6,train
Baby Driver,"Action, Crime, Drama",2017,7.6,train
Only the Brave,"Action, Biography, Drama",2017,7.6,train
Bridge of Spies,"Drama, History, Thriller",2015,7.6,train
Incredibles 2,"Animation, Action, Adventure",2018,7.6,train
Moana,"Animation, Adventure, Comedy",2016,7.6,test
Sicario,"Action, Crime, Drama",2015,7.6,test
Creed,"Drama, Sport",2015,7.6,train
Leviafan,"Crime, Drama",2014,7.6,train
Hell or High Water,"Action, Crime, Drama",2016,7.6,train
Philomena,"Biography, Comedy, Drama",2013,7.6,train
Dawn of the Planet of the Apes,"Action, Adventure, Drama",2014,7.6,train
El cuerpo,"Mystery, Thriller",2012,7.6,test
Serbuan maut,"Action, Thriller",2011,7.6,train
End of Watch,"Action, Crime, Drama",2012,7.6,test
Kari-gurashi no Arietti,"Animation, Adventure, Family",2010,7.6,test
A Star Is Born,"Drama, Music, Romance",2018,7.6,train
True Grit,"Drama, Western",2010,7.6,train
Hævnen,"Drama, Romance",2010,7.6,train
Despicable Me,"Animation, Comedy, Crime",2010,7.6,train
50/50,"Comedy, Drama, Romance",2011,7.6,train
Kick-Ass,"Action, Comedy, Crime",2010,7.6,train
Celda 211,"Action, Adventure, Crime",2009,7.6,train
Moneyball,"Biography, Drama, Sport",2011,7.6,train
La piel que habito,"Drama, Horror, Thriller",2011,7.6,train
Zombieland,"Adventure, Comedy, Fantasy",2009,7.6,train
Die Welle,"Drama, Thriller",2008,7.6,train
Sherlock Holmes,"Action, Adventure, Mystery",2009,7.6,test
The Blind Side,"Biography, Drama, Sport",2009,7.6,train
The Visitor,Drama,2007,7.6,train
Seven Pounds,Drama,2008,7.6,test
Eastern Promises,"Action, Crime, Drama",2007,7.6,train
Stardust,"Adventure, Family, Fantasy",2007,7.6,train
The Secret of Kells,"Animation, Adventure, Family",2009,7.6,train
Inside Man,"Crime, Drama, Mystery",2006,7.6,train
Gone Baby Gone,"Crime, Drama, Mystery",2007,7.6,train
La Vie En Rose,"Biography, Drama, Music",2007,7.6,train
Huo Yuan Jia,"Action, Biography, Drama",2006,7.6,test
The Illusionist,"Drama, Fantasy, Mystery",2006,7.6,train
Dead Man's Shoes,"Crime, Drama, Thriller",2004,7.6,train
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",2009,7.6,train
300,"Action, Drama",2006,7.6,train
Match Point,"Drama, Romance, Thriller",2005,7.6,train
Watchmen,"Action, Drama, Mystery",2009,7.6,train
Lord of War,"Action, Crime, Drama",2005,7.6,train
Saw,"Horror, Mystery, Thriller",2004,7.6,train
"Synecdoche, New York",Drama,2008,7.6,train
Mysterious Skin,Drama,2004,7.6,train
Jeux d'enfants,"Comedy, Drama, Romance",2003,7.6,train
Un long dimanche de fiançailles,"Drama, Mystery, Romance",2004,7.6,test
The Station Agent,"Comedy, Drama",2003,7.6,train
21 Grams,"Crime, Drama, Thriller",2003,7.6,test
Boksuneun naui geot,"Crime, Drama, Thriller",2002,7.6,train
Finding Neverland,"Biography, Drama, Family",2004,7.6,train
25th Hour,Drama,2002,7.6,test
The Butterfly Effect,"Drama, Sci-Fi, Thriller",2004,7.6,test
28 Days Later...,"Drama, Horror, Sci-Fi",2002,7.6,train
Batoru rowaiaru,"Action, Adventure, Drama",2000,7.6,train
